domain,table,display_name,description,group
AUTOAP,alt,Long Text,Long Text (Archive),Archive
AUTOAP,aptstat,AutoAp Status logs of pathology requisitions and samples,AutoAp-Status logs of pathology requisitions and samples,Archive
AUTOAP,lt,Long Text,Long Text,Data
AUTOAP,ptdt,Doctor Types,Additional physicians on an pathology order and their type,Data
AUTOAP,ptqu,Storage Operation,Indications on where samples and slides are stored,Data
AUTOAP,ptstat,Pathology Statuses,Status of entities in pathology,Data
AUTOAP,ptdw,Pathology - Describes the automatic and manual work items.,"Describes the automatic and manual work items, generated for each sample source as part of its default parameters",Setup
AUTOAP,ptet,External Test,Reqeusts sent out to external facilities,Setup
AUTOAP,ptos,Pathology - Describes the pathology work stages used in generating the pathology TAT report,Describes the pathology work stages used in generating the pathology TAT report,Setup
AUTOAP,ptpd,Pathology - Describes the sample source default parameters,Describes the sample source default parameters,Setup
AUTOAP,ptsp,Pathology - Describes printers defined for work items,Describes printers defined for work items,Setup
AUTOAP,ptst,Not Active,nan,Setup
AUTOAP,ptwis,pathology work items statuses,defines dynamic statuses for workitems and actions for when moving to statuses,Setup
AUTOAP,rca,role test action,connects actions to roles by tests,Setup
AUTOAP,wtt,Word Templates Tests,connects word templates to tests and collection place,Setup
AUTOBILLING,rmsf,Billing - free text comments for setup entities.,free text comments for setup entities.,Data
AUTOCLIP,aacc,Autoclip Location Information of the attachments (Archive),Location Information of the attachments (Archive),Archive
AUTOCLIP,aatt,Autoclip Attachments Information (Archive),Autoclip Attachments Information,Archive
AUTOCLIP,acc,Autoclip Location Information of the attachments,Autoclip Location Information of the attachments,Data
AUTOCLIP,att,Autoclip Attachments Information,Autoclip Attachments Information,Data
AUTOCLIP,f,Files,File Locations,Data
AUTOCLIP,acs,Autoclip clip storage table,Autoclip clip storage table,Setup
AUTOCLIP,tc,Clip Consts,test,Setup
AUTOCLIP,tre,Tree,Roots of disk storage and their status,Setup
AOTOCOMM,aim,AutoComm Interfaces messages,AutoComm Interfaces messages (Archive),Archive
AOTOCOMM,im,AutoComm Interfaces messages,AutoComm Interfaces messages,Data
AOTOCOMM,intprofile,AutoComm - intprofile,AutoComm Interfaces profile,Data
AOTOCOMM,int,AutoComm - Interfaces,AutoComm Interfaces,Setup
AUTOCRM,crmp,nan,nan,Data
AUTOCRM,crmt,nan,nan,Data
AUTOCRM,crmcm,client mesasage,Setup table for client message,Setup
AUTOCRM,crmcma,client mesasage attachments,Attached files to the client message definition,Setup
AUTOCRM,crmcml,client message senders list,list of senders relates to the client message definition,Setup
AUTOCRM,crmm,Autocrm,global messages table,Setup
AUTOCRM,crmpri,Autocrm,autocrm priority table,Setup
AUTOFUSION,bbaan,Antibodies and Antigens,Antibodies and Antigens (Archive),Archive
AUTOFUSION,bbacr,BloodBank crossmatches,BloodBank crossmatches (Archive),Archive
AUTOFUSION,bbais,Blood products issues,Blood products issues (Archive),Archive
AUTOFUSION,bbao,Orders for patient,Orders for patient (Archive),Archive
AUTOFUSION,bbaulog,Blood unit operations log,Blood unit operations log (Archive),Archive
AUTOFUSION,bbaun,Blood bank blood units,Blood bank blood units (Archive),Archive
AUTOFUSION,bbac,acoounting with suppliers and patients,acoounting with suppliers and patients,Data
AUTOFUSION,bban,Antibodies and Antigens,Antibodies and Antigens,Data
AUTOFUSION,bbch,checks from suplliers/donors,checks from suplliers/donors,Data
AUTOFUSION,bbcr,BloodBank crossmatches,BloodBank crossmatches,Data
AUTOFUSION,bbdlv,deliverys from blood bank,deliverys from blood bank,Data
AUTOFUSION,bbdon,Blood Bank Donation,Blood Bank Donation,Data
AUTOFUSION,bbdonlog,Donation log,Donation log,Data
AUTOFUSION,bbdonor,Donors card,Donors card,Data
AUTOFUSION,bbepc,relationship between the blood unit and the transfusion reaction,relationship between the blood unit and the transfusion reaction,Data
AUTOFUSION,bbhun,Autofusion History blood units Backup table for bbun,Autofusion History blood units Backup table for bbun,Data
AUTOFUSION,bbi,Blood bank patients,Blood bank patients,Data
AUTOFUSION,bbinv,Inventory count,Inventory count,Data
AUTOFUSION,bbinvl,Inventory count line,Inventory count line,Data
AUTOFUSION,bbis,Blood products issues,Blood products issues,Data
